data;nowe_przypadki;wszystkich
03.mar;0;0
04.mar;1;1
05.mar;0;1
06.mar;4;5
07.mar;1;6
08.mar;5;11
09.mar;6;17
10.mar;5;22
11.mar;9;31
12.mar;20;51
13.mar;17;68
14.mar;36;104
15.mar;21;125
16.mar;52;177
17.mar;61;238
18.mar;49;287
19.mar;68;355
20.mar;70;425
21.mar;111;536
22.mar;98;634
23.mar;115;749
24.mar;152;901
25.mar;150;1051
26.mar;170;1221
27.mar;168;1389
28.mar;249;1638
29.mar;224;1862
30.mar;193;2055
31.mar;256;2311
01.kwi;243;2554
02.kwi;392;2946
03.kwi;437;3383
04.kwi;244;3627
05.kwi;475;4102
06.kwi;311;4413
07.kwi;435;4848
08.kwi;357;5205
09.kwi;370;5575
10.kwi;380;5955
11.kwi;401;6356
12.kwi;318;6674
13.kwi;258;6932
14.kwi;270;7202
15.kwi;380;7582
16.kwi;336;7918
17.kwi;457;8375
18.kwi;334;8709
19.kwi;515;9224
20.kwi;306;9530
21.kwi;263;9793
22.kwi;313;10106
23.kwi;342;10448
24.kwi;381;10829
25.kwi;381;11210
26.kwi;344;11554
27.kwi;285;11839
28.kwi;316;12155
29.kwi;422;12577
30.kwi;300;12877
01.maj;228;13105
02.maj;270;13375
03.maj;318;13693
04.maj;313;14006
05.maj;406;14412
06.maj;311;14723
07.maj;303;15026
08.maj;337;15363
09.maj;288;15651
10.maj;345;15996
11.maj;330;16326
12.maj;556;16882
13.maj;322;17204
14.maj;411;17615
15.maj;401;18016
16.maj;241;18257
17.maj;272;18529
18.maj;356;18885
19.maj;382;19267
20.maj;471;19738
21.maj;403;20141
22.maj;471;20612
23.maj;315;20927
24.maj;361;21288
25.maj;341;21629
26.maj;443;22072
27.maj;397;22469
28.maj;352;22821
29.maj;332;23153
30.maj;412;23565
31.maj;219;23784
01.cze;375;24159
02.cze;236;24395
03.cze;292;24687
04.cze;361;25048
05.cze;362;25410
06.cze;576;25986
07.cze;575;26561
08.cze;599;27160
09.cze;400;27560
10.cze;282;27842
11.cze;359;28201
12.cze;376;28577
13.cze;440;29017
14.cze;375;29392
15.cze;396;29788
16.cze;407;30195
17.cze;450;30645
18.cze;314;30959
19.cze;352;31311
20.cze;309;31620
21.cze;311;31931
22.cze;296;32227
23.cze;300;32527
24.cze;294;32821
25.cze;289;33110
26.cze;285;33395
27.cze;319;33714
28.cze;193;33907
29.cze;247;34154
30.cze;239;34393
01.lip;382;34775
02.lip;371;35146
03.lip;259;35405
04.lip;314;35719
05.lip;231;35950
06.lip;205;36155
07.lip;257;36412
08.lip;277;36689
09.lip;262;36951
10.lip;265;37216
11.lip;305;37521
12.lip;370;37891
13.lip;299;38190
14.lip;267;38457
15.lip;264;38721
16.lip;333;39054
17.lip;353;39407
18.lip;339;39746
19.lip;358;40104
20.lip;279;40383
21.lip;399;40782
22.lip;380;41162
23.lip;418;41580
24.lip;458;42038
25.lip;584;42622
26.lip;443;43065
27.lip;337;43402
28.lip;502;43904
29.lip;512;44416
30.lip;615;45031
31.lip;657;45688
01.sie;658;46346
02.sie;548;46894
03.sie;575;47469
04.sie;680;48149
05.sie;640;48789
06.sie;726;49515
07.sie;809;50324
08.sie;843;51167
09.sie;624;51791
10.sie;619;52410
11.sie;551;52961
12.sie;715;53676
13.sie;811;54487
14.sie;832;55319
15.sie;771;56090
16.sie;594;56684
17.sie;595;57279
18.sie;597;57876
19.sie;735;58611
20.sie;767;59378
21.sie;903;60281
22.sie;900;61181
23.sie;581;61762
24.sie;548;62310
25.sie;763;63073
26.sie;729;63802
27.sie;887;64689
28.sie;791;65480
29.sie;759;66239
30.sie;631;66870
31.sie;502;67372
01.wrz;550;67922
02.wrz;595;68517
03.wrz;612;69129
04.wrz;691;69820
05.wrz;567;70387
06.wrz;437;70824
07.wrz;302;71126
08.wrz;400;71526
09.wrz;421;71947
10.wrz;506;72453
11.wrz;594;73047
12.wrz;603;73650
13.wrz;502;74152
14.wrz;377;74529
15.wrz;605;75134
16.wrz;600;75734
17.wrz;837;76571
18.wrz;757;77328
19.wrz;1002;78330
20.wrz;910;79240
21.wrz;748;79988
22.wrz;711;80699
23.wrz;974;81673
24.wrz;1136;82809
25.wrz;1587;84396
26.wrz;1584;85980
27.wrz;1350;87330
28.wrz;1306;88636
29.wrz;1326;89962
30.wrz;1552;91514
01.paê;1967;93481
02.paê;2292;95773
03.paê;2367;98140
04.paê;1934;100074
05.paê;2006;102080
06.paê;2236;104316
07.paê;3003;107319
08.paê;4280;111599
09.paê;4739;116338
10.paê;5300;121638
11.paê;4178;125816
12.paê;4394;130210
13.paê;5068;135278
14.paê;6526;141804
15.paê;8099;149903
16.paê;7705;157608
17.paê;9622;167230
18.paê;8536;175766